Time,ECG,GSR,Breathing,EMG,PulOxR,PulOxIR
11:11:23.175776,31620.000000,19708.000000,30404.000000,32856.000000,1142.000000,794.000000
11:11:23.175841,31741.000000,19702.000000,30357.000000,32769.000000,1140.000000,792.000000
11:11:23.175909,31785.000000,19713.000000,30325.000000,32773.000000,1140.000000,792.000000
11:11:23.175953,31748.000000,19709.000000,30372.000000,32804.000000,1140.000000,794.000000
11:11:23.175991,31713.000000,19708.000000,30422.000000,32877.000000,1140.000000,794.000000
11:11:23.176037,31688.000000,19708.000000,30375.000000,32794.000000,1140.000000,793.000000
11:11:23.176075,31665.000000,19700.000000,30343.000000,32808.000000,1140.000000,793.000000
11:11:23.176104,31629.000000,19747.000000,30431.000000,32821.000000,1140.000000,792.000000
11:11:23.176138,31524.000000,19716.000000,30383.000000,32710.000000,1140.000000,792.000000
11:11:23.185530,31380.000000,19700.000000,30386.000000,32679.000000,1141.000000,796.000000
11:11:23.185590,31178.000000,19724.000000,30365.000000,32816.000000,1141.000000,796.000000
11:11:23.185637,30990.000000,19717.000000,30335.000000,32849.000000,1139.000000,793.000000
11:11:23.185681,30804.000000,19701.000000,30436.000000,32700.000000,1139.000000,793.000000
11:11:23.189305,30666.000000,19713.000000,30375.000000,32637.000000,1142.000000,794.000000
11:11:23.189347,30476.000000,19711.000000,30361.000000,32725.000000,1142.000000,794.000000
11:11:23.189388,30282.000000,19704.000000,30369.000000,32554.000000,1140.000000,792.000000
11:11:23.189412,30116.000000,19713.000000,30391.000000,32677.000000,1140.000000,792.000000
11:11:23.196733,29956.000000,19699.000000,30339.000000,32837.000000,1138.000000,794.000000
11:11:23.196775,29805.000000,19725.000000,30419.000000,32775.000000,1138.000000,794.000000
11:11:23.196825,29774.000000,19700.000000,30412.000000,32737.000000,1138.000000,791.000000
11:11:23.200481,29814.000000,19700.000000,30343.000000,32711.000000,1138.000000,791.000000
11:11:23.200509,29976.000000,19735.000000,30318.000000,32832.000000,1140.000000,794.000000
11:11:23.200553,30292.000000,19710.000000,30340.000000,32753.000000,1140.000000,794.000000
11:11:23.200595,30704.000000,19707.000000,30413.000000,32721.000000,1141.000000,796.000000
11:11:23.204548,31109.000000,19738.000000,30252.000000,32751.000000,1141.000000,796.000000
11:11:23.204618,31544.000000,19704.000000,30415.000000,32856.000000,1139.000000,794.000000
11:11:23.204653,32092.000000,19696.000000,30369.000000,32785.000000,1139.000000,794.000000
11:11:23.204674,32742.000000,19737.000000,30342.000000,32850.000000,1139.000000,793.000000
11:11:23.204706,33582.000000,19703.000000,30354.000000,32852.000000,1139.000000,793.000000
